"1","Adilabad"
"2","Mancherial"
"3","Nirmal"
"4","Komaram Bheem-Asifbad"
"5","Mandamarri"
"6","Nizamabad"
"7","Kamareddy"
"8","Jagityal"
"9","Karimnagar"
"10","Peddapalli"
"11","Rajanna Siricilla"
